NOTCH








--NODE_NAME	NODE_ID	NODE_TYPE	PARENT_ID	POSX	POSY	WIDTH	HEIGHT--
NRARP	Iyt-kiQdVYR4	GENE	965bb554-28f5-4c4d-9632-ade50543c8bc	5490	4670	150	52
CUL1	ORzx_8_5UAjR	GENE	965bb554-28f5-4c4d-9632-ade50543c8bc	5010	4450	150	52
CREBBP	hrOQVgOCWtHH	GENE	amGWWOzfWrg1	5050	4610	150	52
NCOR2	tRKlqV2HWQET	GENE	1WQdsd0RVSHH	4970	4790	150	52
SPEN	t3mLgYfBWQD4	GENE	1WQdsd0RVSHH	5130	4730	150	52
NOTCH3	2YXLvEuJWVnS	GENE	fLn2ytnZVU-1	4450	4610	150	52
 	amGWWOzfWrg1	COMPLEX	965bb554-28f5-4c4d-9632-ade50543c8bc	5130	4570	150	52
CNTN6	8xDiqqMtUlgK	GENE	965bb554-28f5-4c4d-9632-ade50543c8bc	4450	4790	150	52
HES1	CCp9TqYNVWpA	GENE	993a1925-7cf0-42f0-b453-e70b20ea0ebc	5410	4470	150	52
KAT2B	W6JlNq1wWtHA	GENE	amGWWOzfWrg1	5210	4530	150	52
KDM5A	THgZUx73WQED	GENE	1WQdsd0RVSHH	5290	4730	150	52
DNER	8lwlJT8zUt7J	GENE	965bb554-28f5-4c4d-9632-ade50543c8bc	4630	4790	150	52
NCOR1	Vh9n-uUkWQDu	GENE	1WQdsd0RVSHH	4970	4730	150	52
CLEAVED NOTCH	H-nBa6GpUrhI	COMPLEX	965bb554-28f5-4c4d-9632-ade50543c8bc	4830	4570	150	52
FBXW7	5nfQJAxjT_z9	GENE	965bb554-28f5-4c4d-9632-ade50543c8bc	4830	4450	150	52
 	1WQdsd0RVSHH	FAMILY	965bb554-28f5-4c4d-9632-ade50543c8bc	5130	4760	150	52
NOTCH1	VG_45lkLWVm6	GENE	fLn2ytnZVU-1	4450	4550	150	52
MAML3	dAIql3LLWtG5	GENE	amGWWOzfWrg1	5050	4530	150	52
CCN3	fhalsWFrUkbl	GENE	965bb554-28f5-4c4d-9632-ade50543c8bc	4370	4710	150	52
